width,module,t,l1
128,blocks.1.ln2,0,0.7991918325424194
128,blocks.1.mlp.fc,0,0.12831218540668488
128,blocks.1.mlp.proj,0,0.01058042049407959
128,ln_f,0,0.7991538047790527
128,head,0,0.3263174295425415
128,tok_emb,1,0.7980859279632568
128,pos_emb,1,0.7930539846420288
128,blocks.0.ln1,1,0.7992575168609619
128,blocks.0.attn.qkv,1,0.1278652846813202
128,blocks.0.attn.proj,1,0.0028237346559762955
128,blocks.0.ln2,1,0.7992022037506104
128,blocks.0.mlp.fc,1,0.12722261250019073
128,blocks.0.mlp.proj,1,0.010719720274209976
128,blocks.1.ln1,1,0.7991223931312561
128,blocks.1.attn.qkv,1,0.12808698415756226
128,blocks.1.attn.proj,1,0.0025682521518319845
128,blocks.1.ln2,1,0.7991468906402588
128,blocks.1.mlp.fc,1,0.128420889377594
128,blocks.1.mlp.proj,1,0.010862918570637703
128,ln_f,1,0.7985811233520508
128,head,1,0.3242835998535156
128,tok_emb,2,0.7980833053588867
128,pos_emb,2,0.7930389642715454
128,blocks.0.ln1,2,0.7995968461036682
128,blocks.0.attn.qkv,2,0.12830296158790588
128,blocks.0.attn.proj,2,0.003190708113834262
128,blocks.0.ln2,2,0.7996408343315125
128,blocks.0.mlp.fc,2,0.12784014642238617
128,blocks.0.mlp.proj,2,0.0115119069814682
128,blocks.1.ln1,2,0.7993717193603516
128,blocks.1.attn.qkv,2,0.1284935176372528
128,blocks.1.attn.proj,2,0.002969857770949602
128,blocks.1.ln2,2,0.7996013760566711
128,blocks.1.mlp.fc,2,0.12902101874351501
128,blocks.1.mlp.proj,2,0.0116814523935318
128,ln_f,2,0.7981640696525574
128,head,2,0.32242292165756226
128,tok_emb,3,0.7980809211730957
128,pos_emb,3,0.7930240035057068
128,blocks.0.ln1,3,0.8000977039337158
128,blocks.0.attn.qkv,3,0.12903569638729095
128,blocks.0.attn.proj,3,0.0038216658867895603
128,blocks.0.ln2,3,0.8002474308013916
128,blocks.0.mlp.fc,3,0.12888643145561218
128,blocks.0.mlp.proj,3,0.0127557422965765
128,blocks.1.ln1,3,0.7998532056808472
128,blocks.1.attn.qkv,3,0.12920908629894257
128,blocks.1.attn.proj,3,0.003621078561991453
128,blocks.1.ln2,3,0.8002229928970337
128,blocks.1.mlp.fc,3,0.1300523579120636
128,blocks.1.mlp.proj,3,0.012965704314410686
128,ln_f,3,0.7978875041007996
128,head,3,0.320733904838562
128,tok_emb,4,0.7980786561965942
128,pos_emb,4,0.7930091619491577
128,blocks.0.ln1,4,0.8006910681724548
128,blocks.0.attn.qkv,4,0.1300322264432907
128,blocks.0.attn.proj,4,0.004705704282969236
128,blocks.0.ln2,4,0.8009265661239624
128,blocks.0.mlp.fc,4,0.1303284913301468
128,blocks.0.mlp.proj,4,0.014366133138537407
128,blocks.1.ln1,4,0.8004636764526367
128,blocks.1.attn.qkv,4,0.1301949918270111
128,blocks.1.attn.proj,4,0.004518649075180292
128,blocks.1.ln2,4,0.8009178638458252
128,blocks.1.mlp.fc,4,0.13148802518844604
128,blocks.1.mlp.proj,4,0.01462507713586092
128,ln_f,4,0.7977419495582581
128,head,4,0.31922149658203125
128,tok_emb,0,0.7972474098205566
128,pos_emb,0,0.7941768169403076
128,blocks.0.ln1,0,0.7997632026672363
128,blocks.0.attn.qkv,0,0.127772256731987
128,blocks.0.attn.proj,0,0.0022656340152025223
128,blocks.0.ln2,0,0.7997558116912842
128,blocks.0.mlp.fc,0,0.1285521239042282
128,blocks.0.mlp.proj,0,0.010483060032129288
128,blocks.1.ln1,0,0.7997466325759888
128,blocks.1.attn.qkv,0,0.12705504894256592
128,blocks.1.attn.proj,0,0.0022791260853409767
128,blocks.1.ln2,0,0.7997482419013977
128,blocks.1.mlp.fc,0,0.12843161821365356
128,blocks.1.mlp.proj,0,0.010562925599515438
128,ln_f,0,0.7997241020202637
128,head,0,0.3258809447288513
128,tok_emb,1,0.7972522974014282
128,pos_emb,1,0.7941562533378601
128,blocks.0.ln1,1,0.7997312545776367
128,blocks.0.attn.qkv,1,0.1279144585132599
128,blocks.0.attn.proj,1,0.002414969028905034
128,blocks.0.ln2,1,0.7998228073120117
128,blocks.0.mlp.fc,1,0.12868838012218475
128,blocks.0.mlp.proj,1,0.01074039563536644
128,blocks.1.ln1,1,0.7997681498527527
128,blocks.1.attn.qkv,1,0.1271272897720337
128,blocks.1.attn.proj,1,0.00236161588691175
128,blocks.1.ln2,1,0.799777090549469
128,blocks.1.mlp.fc,1,0.12861216068267822
128,blocks.1.mlp.proj,1,0.010869000107049942
128,ln_f,1,0.7991437315940857
128,head,1,0.3237548768520355
128,tok_emb,2,0.7972574830055237
128,pos_emb,2,0.7941343784332275
128,blocks.0.ln1,2,0.7999850511550903
128,blocks.0.attn.qkv,2,0.12837442755699158
128,blocks.0.attn.proj,2,0.0027913907542824745
128,blocks.0.ln2,2,0.8002605438232422
128,blocks.0.mlp.fc,2,0.12930506467819214
128,blocks.0.mlp.proj,2,0.011533379554748535
128,blocks.1.ln1,2,0.8000792860984802
128,blocks.1.attn.qkv,2,0.12751780450344086
128,blocks.1.attn.proj,2,0.0026956982910633087
128,blocks.1.ln2,2,0.8002516031265259
128,blocks.1.mlp.fc,2,0.1292751580476761
128,blocks.1.mlp.proj,2,0.011718591675162315
128,ln_f,2,0.7986518740653992
128,head,2,0.32176673412323
128,tok_emb,3,0.7972625494003296
128,pos_emb,3,0.7941131591796875
128,blocks.0.ln1,3,0.8004264235496521
128,blocks.0.attn.qkv,3,0.12912967801094055
128,blocks.0.attn.proj,3,0.003366135759279132
128,blocks.0.ln2,3,0.8008600473403931
128,blocks.0.mlp.fc,3,0.13035577535629272
128,blocks.0.mlp.proj,3,0.012794626876711845
128,blocks.1.ln1,3,0.800566554069519
128,blocks.1.attn.qkv,3,0.12819749116897583
128,blocks.1.attn.proj,3,0.0032505332492291927
128,blocks.1.ln2,3,0.8008725643157959
128,blocks.1.mlp.fc,3,0.13035713136196136
128,blocks.1.mlp.proj,3,0.013021083548665047
128,ln_f,3,0.7982717752456665
128,head,3,0.319929301738739
128,tok_emb,4,0.7972676753997803
128,pos_emb,4,0.7940930128097534
128,blocks.0.ln1,4,0.8009939789772034
128,blocks.0.attn.qkv,4,0.1301477551460266
128,blocks.0.attn.proj,4,0.004118220880627632
128,blocks.0.ln2,4,0.8015300035476685
128,blocks.0.mlp.fc,4,0.13180097937583923
128,blocks.0.mlp.proj,4,0.014432952739298344
128,blocks.1.ln1,4,0.8011589050292969
128,blocks.1.attn.qkv,4,0.12913674116134644
128,blocks.1.attn.proj,4,0.004010448232293129
128,blocks.1.ln2,4,0.8015515804290771
128,blocks.1.mlp.fc,4,0.1318259984254837
128,blocks.1.mlp.proj,4,0.014690620824694633
128,ln_f,4,0.7980074882507324
128,head,4,0.3182509243488312
128,tok_emb,0,0.7972656488418579
128,pos_emb,0,0.8109968900680542
128,blocks.0.ln1,0,0.7999850511550903
128,blocks.0.attn.qkv,0,0.12787234783172607
128,blocks.0.attn.proj,0,0.002333215204998851
128,blocks.0.ln2,0,0.7999898195266724
128,blocks.0.mlp.fc,0,0.1259726881980896
128,blocks.0.mlp.proj,0,0.010271710343658924
128,blocks.1.ln1,0,0.8000252842903137
128,blocks.1.attn.qkv,0,0.1279548555612564
128,blocks.1.attn.proj,0,0.0024151240941137075
128,blocks.1.ln2,0,0.8000345230102539
128,blocks.1.mlp.fc,0,0.12812396883964539
128,blocks.1.mlp.proj,0,0.01030175294727087
128,ln_f,0,0.8000426292419434
128,head,0,0.3264591097831726
128,tok_emb,1,0.797267496585846
128,pos_emb,1,0.811000645160675
128,blocks.0.ln1,1,0.8000901937484741
128,blocks.0.attn.qkv,1,0.1280723661184311
128,blocks.0.attn.proj,1,0.0025302856229245663
128,blocks.0.ln2,1,0.8000161647796631
128,blocks.0.mlp.fc,1,0.12602832913398743
128,blocks.0.mlp.proj,1,0.010513976216316223
128,blocks.1.ln1,1,0.800021767616272
128,blocks.1.attn.qkv,1,0.12801669538021088
128,blocks.1.attn.proj,1,0.0025183772668242455
128,blocks.1.ln2,1,0.7999320030212402
128,blocks.1.mlp.fc,1,0.12820087373256683
128,blocks.1.mlp.proj,1,0.010548091493546963
128,ln_f,1,0.7995503544807434
128,head,1,0.32449567317962646
128,tok_emb,2,0.7972695827484131
128,pos_emb,2,0.8110044002532959
128,blocks.0.ln1,2,0.8004459738731384
128,blocks.0.attn.qkv,2,0.12861937284469604
128,blocks.0.attn.proj,2,0.00297239376232028
128,blocks.0.ln2,2,0.8004220724105835
128,blocks.0.mlp.fc,2,0.1265673041343689
128,blocks.0.mlp.proj,2,0.011291911825537682
128,blocks.1.ln1,2,0.8002932071685791
128,blocks.1.attn.qkv,2,0.12841437757015228
128,blocks.1.attn.proj,2,0.0029037720523774624
128,blocks.1.ln2,2,0.8003593683242798
128,blocks.1.mlp.fc,2,0.12877419590950012
128,blocks.1.mlp.proj,2,0.01134558953344822
128,ln_f,2,0.7991294264793396
128,head,2,0.32267796993255615
128,tok_emb,3,0.7972719669342041
128,pos_emb,3,0.8110092282295227
128,blocks.0.ln1,3,0.8009565472602844
128,blocks.0.attn.qkv,3,0.12946434319019318
128,blocks.0.attn.proj,3,0.0036419159732759
128,blocks.0.ln2,3,0.8010119199752808
128,blocks.0.mlp.fc,3,0.12754294276237488
128,blocks.0.mlp.proj,3,0.012526385486125946
128,blocks.1.ln1,3,0.8007572293281555
128,blocks.1.attn.qkv,3,0.12911143898963928
128,blocks.1.attn.proj,3,0.003538422752171755
128,blocks.1.ln2,3,0.8009663224220276
128,blocks.1.mlp.fc,3,0.12977898120880127
128,blocks.1.mlp.proj,3,0.012610072270035744
128,ln_f,3,0.7988560795783997
128,head,3,0.3210467994213104
128,tok_emb,4,0.7972747087478638
128,pos_emb,4,0.8110151290893555
128,blocks.0.ln1,4,0.8015682697296143
128,blocks.0.attn.qkv,4,0.13057628273963928
128,blocks.0.attn.proj,4,0.004536648280918598
128,blocks.0.ln2,4,0.8016775250434875
128,blocks.0.mlp.fc,4,0.1289249062538147
128,blocks.0.mlp.proj,4,0.014131490141153336
128,blocks.1.ln1,4,0.8013385534286499
128,blocks.1.attn.qkv,4,0.13008205592632294
128,blocks.1.attn.proj,4,0.004408109933137894
128,blocks.1.ln2,4,0.8016486167907715
128,blocks.1.mlp.fc,4,0.13118302822113037
128,blocks.1.mlp.proj,4,0.014253631234169006
128,ln_f,4,0.7987385988235474
128,head,4,0.3196171820163727
256,tok_emb,0,0.7973933219909668
256,pos_emb,0,0.7996011972427368
256,blocks.0.ln1,0,0.7985050082206726
256,blocks.0.attn.qkv,0,0.12756235897541046
256,blocks.0.attn.proj,0,0.002214692533016205
256,blocks.0.ln2,0,0.7984981536865234
256,blocks.0.mlp.fc,0,0.12789246439933777
256,blocks.0.mlp.proj,0,0.010530493222177029
256,blocks.1.ln1,0,0.7985063791275024
256,blocks.1.attn.qkv,0,0.12755067646503448
256,blocks.1.attn.proj,0,0.002274992410093546
256,blocks.1.ln2,0,0.7985130548477173
256,blocks.1.mlp.fc,0,0.12797202169895172
256,blocks.1.mlp.proj,0,0.01046847365796566
256,ln_f,0,0.7985156774520874
256,head,0,0.23029997944831848
256,tok_emb,1,0.7973923087120056
256,pos_emb,1,0.7995905876159668
256,blocks.0.ln1,1,0.7985283136367798
256,blocks.0.attn.qkv,1,0.12761983275413513
256,blocks.0.attn.proj,1,0.0023257825523614883
256,blocks.0.ln2,1,0.7984482049942017
256,blocks.0.mlp.fc,1,0.127955824136734
256,blocks.0.mlp.proj,1,0.010705912485718727
256,blocks.1.ln1,1,0.798575222492218
256,blocks.1.attn.qkv,1,0.12764230370521545
256,blocks.1.attn.proj,1,0.0024182223714888096
256,blocks.1.ln2,1,0.7985125780105591
256,blocks.1.mlp.fc,1,0.128038227558136
256,blocks.1.mlp.proj,1,0.010662974789738655
256,ln_f,1,0.7981512546539307
256,head,1,0.22924843430519104
256,tok_emb,2,0.7973917722702026
256,pos_emb,2,0.7995800375938416
256,blocks.0.ln1,2,0.7988077402114868
256,blocks.0.attn.qkv,2,0.12787775695323944
256,blocks.0.attn.proj,2,0.0026602272409945726
256,blocks.0.ln2,2,0.798869788646698
256,blocks.0.mlp.fc,2,0.12837980687618256
256,blocks.0.mlp.proj,2,0.011264637112617493
256,blocks.1.ln1,2,0.79887455701828
256,blocks.1.attn.qkv,2,0.12792906165122986
256,blocks.1.attn.proj,2,0.002783694304525852
256,blocks.1.ln2,2,0.7989570498466492
